STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
MAHARASHTRA,AHMEDNAGAR,0.6,1.3,3,5.3,21.6,104.9,101.8,91.8,139.1,73.8,22.5,7.5,573.2,1.9,29.9,437.6,103.8
MAHARASHTRA,DHULE,2.5,1,3.2,1.6,10.3,117.5,168.9,131.4,105.7,43.5,16.7,4.9,607.2,3.5,15.1,523.5,65.1
MAHARASHTRA,JALGAON,3.3,2.4,4.3,1.4,7.5,132.1,191,195.6,123.1,46.1,17.1,7,730.9,5.7,13.2,641.8,70.2
MAHARASHTRA,KOLHAPUR,1,0.8,4.6,25.9,60.2,351.5,723.7,477.2,185.2,125,30.4,7.3,1992.8,1.8,90.7,1737.6,162.7
MAHARASHTRA,NASHIK,1.2,0.5,1,4.7,15.1,154.9,315,259,183.3,68,22.3,4.6,1029.6,1.7,20.8,912.2,94.9
MAHARASHTRA,PUNE,0.6,0.1,1.6,7.6,27.4,156.9,312.9,225.1,166.1,87.1,24.3,6,1015.7,0.7,36.6,861,117.4
MAHARASHTRA,SANGLI,1.7,0.8,4.3,22.6,54,119,150.6,107.2,131.3,108.3,25.2,5.6,730.6,2.5,80.9,508.1,139.1
MAHARASHTRA,SATARA,0.7,0.7,3.1,14,36.4,150.7,254.4,175.2,143.5,95.6,29.9,8.3,912.5,1.4,53.5,723.8,133.8
MAHARASHTRA,SOLAPUR,2.7,1.5,3.4,9.2,29.8,102.7,99.8,101.6,170.1,94.5,24.6,6.6,646.5,4.2,42.4,474.2,125.7
MAHARASHTRA,NANDURBAR,1,0,0.3,1.5,9.3,137.6,301.4,243.3,146.1,37.2,10.6,2.4,890.7,1,11.1,828.4,50.2
MAHARASHTRA,AURANGABAD,2.5,1.6,3.1,2.8,17.1,130.4,156.3,157.9,149.6,59.2,25,10.7,716.2,4.1,23,594.2,94.9
MAHARASHTRA,BEED,2.5,2,3.8,7,19.7,128.3,136.2,137,167.9,71.3,22.6,10.1,708.4,4.5,30.5,569.4,104
MAHARASHTRA,NANDED,4.9,4.5,8.4,8.8,15.9,155.2,247.1,242.6,171.5,79.9,16.2,6.1,961.1,9.4,33.1,816.4,102.2
MAHARASHTRA,OSMANABAD,3.4,2.6,3.9,7.5,26.3,132.1,154.2,154.2,182.9,85.3,22.3,4.6,779.3,6,37.7,623.4,112.2
MAHARASHTRA,PARBHANI,5.8,2.9,7.9,7.5,14.4,154.6,215.3,219.9,167.4,74.4,16.9,10,897,8.7,29.8,757.2,101.3
MAHARASHTRA,LATUR,4.4,3.6,7.8,11.5,21.1,144.8,217.9,220.4,169.4,81,22.4,5.7,910,8,40.4,752.5,109.1
MAHARASHTRA,JALNA,3.2,2,4.5,2.7,17.5,139.3,165,159.9,142.2,61.2,24.1,8.1,729.7,5.2,24.7,606.4,93.4
MAHARASHTRA,HINGOLI,5,4.8,7.2,6.1,13.4,185.2,243.3,255.7,164.9,66.2,18.2,9.4,979.4,9.8,26.7,849.1,93.8
MAHARASHTRA,AKOLA,8.6,5.3,8.8,4.4,9.7,142.9,226.3,204.3,128.8,52.8,16.7,6.8,815.4,13.9,22.9,702.3,76.3
MAHARASHTRA,AMRAVATI,10.1,6.3,7.8,3.7,6.4,137.2,254.2,243.8,151.4,53,15.2,8.3,897.4,16.4,17.9,786.6,76.5
MAHARASHTRA,BHANDARA,15.9,13.2,17.7,10.2,11.4,168,376.4,391.2,201.6,61.8,13.4,11.9,1292.7,29.1,39.3,1137.2,87.1
MAHARASHTRA,BULDHANA,4.6,3,6.1,2.9,8,139.7,191.5,195.3,120.1,52.7,16,7,746.9,7.6,17,646.6,75.7
MAHARASHTRA,CHANDRAPUR,11.4,8.9,14.6,10.8,11.6,180.6,374,374.1,203.1,65.1,9.9,7.9,1272,20.3,37,1131.8,82.9
MAHARASHTRA,NAGPUR,13.7,10.9,15.9,9.7,11,158,308.9,280.6,176.4,56.9,14.3,12.1,1068.4,24.6,36.6,923.9,83.3
MAHARASHTRA,YAVATMAL,8.6,4.6,11,7.7,11.9,173.6,267.1,262.8,151.5,61.9,13.2,8.9,982.8,13.2,30.6,855,84
MAHARASHTRA,WARDHA,11.2,9.2,13.1,8.5,15.9,169.7,273.6,273.2,163.8,57.9,15.1,15.8,1027,20.4,37.5,880.3,88.8
MAHARASHTRA,GADCHIROLI,9.6,7.6,14,12.2,17,209.2,454,441.4,198.4,68.8,11.2,6.4,1449.8,17.2,43.2,1303,86.4
MAHARASHTRA,WASHIM,9,5.7,7.5,4.9,8.3,173,245.4,250.4,156.8,61,11.5,7.4,940.9,14.7,20.7,825.6,79.9
MAHARASHTRA,GONDIA,15.2,11.2,16.3,9.1,8.4,174.1,418.1,424.3,212.3,58.9,10.7,12.1,1370.7,26.4,33.8,1228.8,81.7
